idvariant,variant_kode,variant_nama,variant_harga,variant_stock,variant_date,variant_author,variant_ls_stock,variant_ls_date,variant_ls_author
98,"GUM","BUBBLE GUM",2.0000000000000000e+03,4.6500000000000000e+01,"2007-05-10","OLLA",8.9872500000000000e+04,"2007-03-28","admin"
105,"STW","STRAWBERRY",2.0000000000000000e+03,5.5000000000000000e+01,"2007-05-10","OLLA",2.9985000000000000e+04,"2007-03-28","admin"
112,"ARM","ARMY MAN HUGO",2.5000000000000000e+03,2.8000000000000000e+02,"2007-05-10","OLLA",8.2361000000000000e+04,"2007-03-28","admin"
120,"BST","BEST CEVIGNON M",2.0000000000000000e+03,2.1000000000000000e+02,"2007-05-10","OLLA",2.5627500000000000e+04,"2007-03-28","admin"
121,"BTL","BOTTLE BOSS M",2.0000000000000000e+03,1.8750000000000000e+02,"2007-05-10","OLLA",4.9707500000000000e+04,"2007-03-28","admin"
129,"DCL","CECLARATION CARTIER ",3.0000000000000000e+03,1.6600000000000000e+02,"2007-05-10","OLLA",2.9155000000000000e+04,"2007-03-28","admin"
138,"EST","ESSENTIAL LCT M",2.0000000000000000e+03,2.1000000000000000e+02,"2007-05-10","OLLA",2.5911000000000000e+04,"2007-03-28","admin"
146,"KLM","KENZO LEUPAR M",2.0000000000000000e+03,7.5500000000000000e+01,"2007-05-10","OLLA",3.9866000000000000e+04,"2007-03-28","admin"
151,"RUG","ROUGE LACOSTE M",2.0000000000000000e+03,1.6500000000000000e+02,"2007-05-10","OLLA",3.0862000000000000e+04,"2007-03-28","admin"
159,"RIR","ROCK IN RIO ESC W",2.0000000000000000e+03,2.0000000000000000e+02,"2007-05-10","OLLA",1.9950000000000000e+02,"2007-03-31","admin"
40,"ARW","ARMY WOMAN HUGO",2.5000000000000000e+03,2.7380000000000001e+02,"2007-05-10","OLLA",8.7798500000000000e+04,"2007-03-28","admin"
60,"GLW","GLOW J-LO W",2.0000000000000000e+03,2.4250000000000000e+02,"2007-05-10","OLLA",2.7585000000000000e+04,"2007-03-28","admin"
80,"SNW","SENTIMENT ESC W",2.0000000000000000e+03,1.3750000000000000e+02,"2007-05-10","OLLA",5.9084000000000000e+04,"2007-03-28","admin"
