idstock,stock_name,stock_idname,stock_awal,stock_order,stock_akhir,stock_date,stock_author,stock_status,stock_keterangan
194,"variant",129,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
195,"variant",130,0.0000000000000000e+00,5.0000000000000000e+03,5.0000000000000000e+03,"2007-03-28","admin",0,
196,"variant",131,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
197,"variant",133,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
198,"variant",52,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
199,"variant",132,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
200,"variant",134,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
201,"variant",135,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
202,"variant",136,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
203,"variant",53,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
204,"variant",54,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
205,"variant",137,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
207,"variant",138,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
208,"variant",139,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
209,"variant",56,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
210,"variant",57,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
211,"variant",140,0.0000000000000000e+00,1.5000000000000000e+03,1.5000000000000000e+03,"2007-03-28","admin",1,
212,"variant",141,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
213,"variant",142,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
214,"variant",58,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
215,"variant",60,0.0000000000000000e+00,1.5000000000000000e+03,1.5000000000000000e+03,"2007-03-28","admin",1,
216,"variant",59,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
217,"variant",98,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",1,
218,"variant",62,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
219,"variant",143,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
220,"variant",63,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
221,"variant",145,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
222,"variant",101,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
223,"variant",144,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
224,"variant",147,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
225,"variant",65,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
226,"variant",66,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
227,"variant",64,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
228,"variant",146,0.0000000000000000e+00,1.2000000000000000e+03,1.2000000000000000e+03,"2007-03-28","admin",1,
229,"variant",67,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
230,"variant",95,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
231,"variant",68,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
232,"variant",96,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",1,
233,"variant",102,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
234,"variant",102,3.0000000000000000e+02,9.0000000000000000e+02,3.0900000000000000e+04,"2007-03-28","admin",1,
235,"variant",69,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
236,"variant",70,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
237,"variant",103,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",1,
238,"variant",100,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",1,
239,"variant",148,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
240,"variant",71,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
241,"variant",104,0.0000000000000000e+00,1.0000000000000000e+02,1.0000000000000000e+02,"2007-03-28","admin",1,
242,"variant",149,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
243,"variant",72,0.0000000000000000e+00,1.5000000000000000e+03,1.5000000000000000e+03,"2007-03-28","admin",1,
244,"variant",73,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
245,"variant",74,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
246,"variant",75,0.0000000000000000e+00,6.0000000000000000e+02,6.0000000000000000e+02,"2007-03-28","admin",1,
247,"variant",150,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
248,"variant",76,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
249,"variant",151,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
250,"variant",91,0.0000000000000000e+00,3.0000000000000000e+02,3.0000000000000000e+02,"2007-03-28","admin",1,
251,"variant",77,0.0000000000000000e+00,9.0000000000000000e+02,9.0000000000000000e+02,"2007-03-28","admin",1,
252,"variant",97,0.0000000000000000e+00,2.0000000000000000e+02,2.0000000000000000e+02,"2007-03-28","admin",1,
253,"variant",78,0.0000000000000000e+00,4.0000000000000000e+02,4.0000000000000000e+02,"2007-03-28","admin",1,
254,"variant",156,0.0000000000000000e+00,2.0000000000000000e+02,2.0000000000000000e+02,"2007-03-28","admin",1,
