idvariant,variant_kode,variant_nama,variant_harga,variant_stock,variant_date,variant_author,variant_ls_stock,variant_ls_date,variant_ls_author
80,"SNW","SNW WOMAN",2.0000000000000000e+03,2.6500000000000000e+02,"2007-05-10","OLLA",5.9084000000000000e+04,"2007-03-28","admin"
81,"STL","STL WOMAN",2.5000000000000000e+03,4.0540000000000003e+02,"2007-05-10","OLLA",1.4898500000000000e+04,"2007-03-28","admin"
82,"SXY","SXY WOMAN",2.5000000000000000e+03,2.6100000000000000e+02,"2007-05-10","OLLA",7.5872500000000000e+04,"2007-03-28","admin"
83,"TOP","TOP WOMAN",2.0000000000000000e+03,1.4800000000000000e+02,"2007-05-10","OLLA",5.9148500000000000e+04,"2007-03-28","admin"
84,"TRB","TRB WOMAN",2.0000000000000000e+03,2.5000000000000000e+02,"2007-05-10","OLLA",3.0087000000000000e+04,"2007-03-28","admin"
85,"TRS","TRS WOMAN",2.5000000000000000e+03,2.3650000000000000e+02,"2007-05-10","OLLA",5.9735000000000000e+04,"2007-03-28","admin"
86,"TRU","TRU WOMAN",2.0000000000000000e+03,1.0700000000000000e+02,"2007-05-10","OLLA",2.7162500000000000e+04,"2007-03-28","admin"
87,"VNL","VNL WOMAN",2.5000000000000000e+03,2.3100000000000000e+02,"2007-05-10","OLLA",3.0920500000000000e+04,"2007-03-28","admin"
88,"WMW","WMW WOMAN",3.0000000000000000e+03,2.0400000000000000e+02,"2007-05-10","OLLA",7.5989500000000000e+04,"2007-03-28","admin"
89,"222W","222 WOMAN",2.5000000000000000e+03,1.6480000000000001e+02,"2007-05-10","OLLA",9.0680000000000007e+01,"2007-03-28","admin"
90,"BLA","BLA U",3.0000000000000000e+03,5.5000000000000000e+02,"2007-05-10","OLLA",9.9250000000000000e+03,"2007-03-28","admin"
91,"SA","SA U",2.5000000000000000e+03,5.9500000000000000e+01,"2007-05-10","OLLA",2.6196500000000000e+04,"2007-03-28","admin"
92,"CK","CK U",2.5000000000000000e+03,2.4300000000000000e+02,"2007-05-10","OLLA",5.5345000000000000e+04,"2007-03-28","admin"
405,"KLW","KLW",2.5000000000000000e+03,2.5780000000000001e+02,"2016-01-21","YUNI",0.0000000000000000e+00,"2016-01-21","YUNI"
93,"CKS","CKS U",2.0000000000000000e+03,1.4650000000000000e+02,"2007-05-10","OLLA",2.9864000000000000e+04,"2007-03-28","admin"
94,"CKB","CKB U",2.5000000000000000e+03,1.8680000000000001e+02,"2007-05-10","OLLA",2.9428500000000000e+04,"2007-03-28","admin"
95,"LB","LB U",2.5000000000000000e+03,1.1119999999999999e+02,"2007-05-10","OLLA",2.9160000000000000e+04,"2007-03-28","admin"
96,"LMN","LMN OTHER",2.0000000000000000e+03,1.9750000000000000e+02,"2007-05-10","OLLA",8.0000000000000000e+01,"2007-05-10","OLLA"
97,"SGS","SGS U",2.0000000000000000e+03,2.2100000000000000e+02,"2007-05-10","OLLA",1.9487500000000000e+04,"2007-03-28","admin"
99,"APL","APL OTHER",2.0000000000000000e+03,2.8300000000000000e+02,"2007-05-10","OLLA",9.4780000000000000e+03,"2007-03-28","admin"
100,"MRK","MRK U",2.0000000000000000e+03,3.4500000000000000e+01,"2007-05-10","OLLA",1.0970000000000000e+04,"2007-03-28","admin"
101,"JSM","JSM OTHER",2.0000000000000000e+03,2.7500000000000000e+02,"2007-05-10","OLLA",2.5339000000000000e+04,"2007-03-28","admin"
102,"LUX","LUX U",2.0000000000000000e+03,2.2500000000000000e+02,"2007-05-10","OLLA",2.8014500000000000e+04,"2007-03-28","admin"
103,"MLN","MLN U",2.0000000000000000e+03,1.0000000000000000e+02,"2007-05-10","OLLA",1.1000000000000000e+04,"2007-03-28","admin"
104,"ORG","ORG OTHER",2.0000000000000000e+03,8.1000000000000000e+01,"2007-05-10","OLLA",1.1000000000000000e+04,"2007-03-28","admin"
105,"STW","STW OTHER",2.0000000000000000e+03,8.7000000000000000e+01,"2007-05-10","OLLA",2.9985000000000000e+04,"2007-03-28","admin"
106,"CDL","CDL U",2.0000000000000000e+03,1.9700000000000000e+02,"2007-05-10","OLLA",1.0985000000000000e+04,"2007-03-28","admin"
107,"CSN","CSN U",2.0000000000000000e+03,2.4700000000000000e+02,"2007-05-10","OLLA",9.0210000000000000e+04,"2007-03-28","admin"
108,"AMB","AMB OTHER",2.0000000000000000e+03,4.8000000000000000e+01,"2007-05-10","OLLA",9.0960000000000000e+04,"2007-03-28","admin"
110,"ALS","ALS MAN",2.5000000000000000e+03,2.2800000000000000e+02,"2007-05-10","OLLA",4.9131500000000000e+04,"2007-03-28","admin"
111,"AQL","AQL MAN",2.5000000000000000e+03,2.5900000000000000e+02,"2007-05-10","OLLA",1.0499500000000000e+04,"2007-03-28","admin"
112,"ARM","ARM MAN",2.5000000000000000e+03,2.3480000000000001e+02,"2007-05-10","OLLA",8.2361000000000000e+04,"2007-03-28","admin"
113,"BBC","BBC MAN",3.0000000000000000e+03,2.7900000000000000e+02,"2007-05-10","OLLA",3.9985000000000002e+02,"2007-03-28","admin"
115,"BJV","BJV MAN",2.5000000000000000e+03,1.4580000000000001e+02,"2007-05-10","OLLA",5.6045500000000000e+04,"2007-03-28","admin"
116,"BLE","BLE MAN",3.0000000000000000e+03,7.7550000000000000e+02,"2007-05-10","OLLA",2.7757000000000000e+04,"2007-03-28","admin"
117,"BLM","BLM MAN",2.5000000000000000e+03,2.3960000000000002e+02,"2007-05-10","OLLA",8.8817500000000000e+04,"2007-03-28","admin"
118,"BSM","BSM MAN",2.5000000000000000e+03,2.0640000000000001e+02,"2007-05-10","OLLA",4.8387500000000000e+04,"2007-03-28","admin"
119,"BSC","BSC MAN",3.0000000000000000e+03,3.0000000000000000e+02,"2007-05-10","OLLA",2.3652000000000000e+04,"2007-03-28","admin"
120,"BST","BST MAN",2.0000000000000000e+03,9.8000000000000000e+01,"2007-05-10","OLLA",2.5627500000000000e+04,"2007-03-28","admin"
122,"BRT","BRT MAN",2.5000000000000000e+03,2.1150000000000000e+02,"2007-05-10","OLLA",3.0235000000000000e+04,"2007-03-28","admin"
123,"BXS","BXS MAN",2.0000000000000000e+03,2.5000000000000000e+02,"2007-05-10","OLLA",8.6437000000000000e+04,"2007-03-28","admin"
124,"CDM","CDM MAN",2.5000000000000000e+03,1.9450000000000000e+02,"2007-05-10","OLLA",3.0317500000000000e+04,"2007-03-28","admin"
